Step: 1, animals: 348, kites: 8, wolves: 14
Step: 2, animals: 3230, kites: 14, wolves: 32
Step: 3, animals: 5005, kites: 38, wolves: 32
Step: 4, animals: 5101, kites: 38, wolves: 32
Step: 5, animals: 5161, kites: 38, wolves: 32
Step: 6, animals: 5659, kites: 38, wolves: 32
Step: 7, animals: 5208, kites: 38, wolves: 32
Step: 8, animals: 4942, kites: 38, wolves: 32
Step: 9, animals: 4978, kites: 38, wolves: 32
Step: 10, animals: 6212, kites: 38, wolves: 32
Step: 11, animals: 6418, kites: 38, wolves: 31
Step: 12, animals: 5687, kites: 38, wolves: 31
Step: 13, animals: 5298, kites: 38, wolves: 31
Step: 14, animals: 5797, kites: 38, wolves: 30
Step: 15, animals: 5568, kites: 38, wolves: 30
Step: 16, animals: 6862, kites: 38, wolves: 29
Step: 17, animals: 4958, kites: 38, wolves: 40
Step: 18, animals: 7424, kites: 38, wolves: 37
Step: 19, animals: 6997, kites: 38, wolves: 36
Step: 20, animals: 6279, kites: 36, wolves: 34
Step: 21, animals: 5673, kites: 35, wolves: 33
Step: 22, animals: 6069, kites: 32, wolves: 40
Step: 23, animals: 6001, kites: 30, wolves: 35
Step: 24, animals: 4967, kites: 33, wolves: 33
Step: 25, animals: 4986, kites: 29, wolves: 31
Step: 26, animals: 5450, kites: 40, wolves: 33
Step: 27, animals: 4945, kites: 40, wolves: 32
Step: 28, animals: 5420, kites: 39, wolves: 32
Step: 29, animals: 5973, kites: 32, wolves: 32
Step: 30, animals: 5667, kites: 31, wolves: 31
Step: 31, animals: 4963, kites: 31, wolves: 31
Step: 32, animals: 7219, kites: 41, wolves: 31
Step: 33, animals: 5611, kites: 40, wolves: 31
Step: 34, animals: 6161, kites: 39, wolves: 31
Step: 35, animals: 6098, kites: 38, wolves: 30
Step: 36, animals: 6038, kites: 37, wolves: 45
Step: 37, animals: 5042, kites: 35, wolves: 42
Step: 38, animals: 4943, kites: 35, wolves: 41
Step: 39, animals: 6934, kites: 34, wolves: 41
Step: 40, animals: 5221, kites: 31, wolves: 39
Step: 41, animals: 4939, kites: 31, wolves: 39
Step: 42, animals: 10152, kites: 31, wolves: 39
Step: 43, animals: 10072, kites: 31, wolves: 39
Step: 44, animals: 7338, kites: 31, wolves: 38
Step: 45, animals: 137, kites: 31, wolves: 38
Step: 46, animals: 1021, kites: 30, wolves: 34
Step: 47, animals: 5115, kites: 41, wolves: 32
Step: 48, animals: 4985, kites: 38, wolves: 32
Step: 49, animals: 5154, kites: 37, wolves: 32
Step: 50, animals: 4950, kites: 36, wolves: 32
Step: 51, animals: 6053, kites: 33, wolves: 34
Step: 52, animals: 5052, kites: 34, wolves: 35
Step: 53, animals: 5390, kites: 42, wolves: 29
Step: 54, animals: 5158, kites: 31, wolves: 27
Step: 55, animals: 5144, kites: 38, wolves: 32
Step: 56, animals: 5509, kites: 27, wolves: 32
Step: 57, animals: 4991, kites: 42, wolves: 29
Step: 58, animals: 5765, kites: 30, wolves: 44
Step: 59, animals: 4981, kites: 31, wolves: 44
Step: 60, animals: 5290, kites: 30, wolves: 42
Step: 61, animals: 5070, kites: 30, wolves: 40
Step: 62, animals: 4960, kites: 35, wolves: 39
Step: 63, animals: 5305, kites: 30, wolves: 38
Step: 64, animals: 5549, kites: 33, wolves: 33
Step: 65, animals: 5071, kites: 50, wolves: 33
Step: 66, animals: 5855, kites: 38, wolves: 29
Step: 67, animals: 7037, kites: 31, wolves: 37
Step: 68, animals: 6739, kites: 33, wolves: 37
Step: 69, animals: 5056, kites: 33, wolves: 27
Step: 70, animals: 7706, kites: 30, wolves: 35
Step: 71, animals: 5087, kites: 35, wolves: 33
Step: 72, animals: 5360, kites: 33, wolves: 31
Step: 73, animals: 5013, kites: 45, wolves: 30
Step: 74, animals: 5462, kites: 43, wolves: 47
Step: 75, animals: 5001, kites: 36, wolves: 40
Step: 76, animals: 5023, kites: 34, wolves: 32
Step: 77, animals: 4968, kites: 40, wolves: 25
Step: 78, animals: 10039, kites: 40, wolves: 43
Step: 79, animals: 5729, kites: 38, wolves: 43
Step: 80, animals: 5280, kites: 31, wolves: 40
Step: 81, animals: 258, kites: 36, wolves: 33
Step: 82, animals: 5021, kites: 33, wolves: 31
Step: 83, animals: 4954, kites: 31, wolves: 30
Step: 84, animals: 5270, kites: 30, wolves: 30
Step: 85, animals: 4894, kites: 30, wolves: 30
Step: 86, animals: 5747, kites: 30, wolves: 30
Step: 87, animals: 5156, kites: 30, wolves: 30
Step: 88, animals: 4919, kites: 30, wolves: 30
Step: 89, animals: 6441, kites: 30, wolves: 30
Step: 90, animals: 6354, kites: 30, wolves: 35
Step: 91, animals: 6145, kites: 35, wolves: 35
Step: 92, animals: 4955, kites: 34, wolves: 35
Step: 93, animals: 5305, kites: 32, wolves: 27
Step: 94, animals: 4961, kites: 31, wolves: 39
Step: 95, animals: 5093, kites: 31, wolves: 39
Step: 96, animals: 5139, kites: 30, wolves: 37
Step: 97, animals: 5351, kites: 32, wolves: 30
Step: 98, animals: 5572, kites: 30, wolves: 32
Step: 99, animals: 5085, kites: 34, wolves: 31
Step: 100, animals: 5042, kites: 34, wolves: 28
